,Date,bt_Close**,bt_Volume,bt_Supply,bt_close_off_high,bt_volatility,bt_High,bt_Low
1588,2014-07-16,616.8,13182400,13026600.000000002,0.6211340206185785,0.012475683670680521,623.09,615.33
1587,2014-07-17,623.09,16576700,13030854.086889533,-0.6422582448295211,0.029016771012424152,626.29,608.4
1586,2014-07-18,628.78,14158100,13035104.268583607,-0.9016018306636011,0.014043093336761105,629.21,620.47
1585,2014-07-19,628.52,7222030,13039521.26742188,-0.7155361050328287,0.00726353767662148,629.17,624.6
1584,2014-07-20,623.9,5760120,13043450.0,0.6124567474048408,0.009195621738577022,628.56,622.78
1583,2014-07-21,622.21,10711900,13047370.969608331,-0.24497991967871946,0.007981408766728131,624.09,619.11
1582,2014-07-22,621.55,9602880,13050920.997506235,0.6467065868263877,0.0053674449997588155,624.3,620.96
1581,2014-07-23,619.41,11056600,13054605.379312573,0.6351791530944602,0.009885368366821204,624.43,618.29
1580,2014-07-24,601.73,20917200,13058165.1022884,0.5044247787610625,0.04012913640032268,620.43,595.57
1579,2014-07-25,601.09,12279500,13062228.268645294,0.2154471544715444,0.016358830277135927,607.07,597.23
1578,2014-07-26,595.81,10752900,13065690.787331533,0.5448954489545117,0.013515310702530165,602.09,593.96
1577,2014-07-27,593.85,7774230,13069444.016165698,0.8475499092558749,0.00925008813604866,598.94,593.43
1576,2014-07-28,585.69,19316400,13073172.321535282,-0.08406395048994841,0.03263540579661376,594.57,575.18
1575,2014-07-29,584.72,11275400,13077011.82275277,0.0971599402092651,0.011425155836393034,588.39,581.7
1574,2014-07-30,567.29,14898800,13081244.176699748,0.763600395647875,0.03457947121797727,585.12,564.9
1573,2014-07-31,586.23,22467900,13085036.60167511,-1.0,0.038281897174683235,586.23,564.51
1572,2014-08-01,594.92,18215900,13088811.99489007,-0.5801259622113355,0.02437734561583071,597.92,583.63
1571,2014-08-02,589.33,8359080,13093141.650688069,0.2754285714285547,0.014708354345268113,594.91,586.16
1570,2014-08-03,586.67,9917990,13096835.703206232,-0.3386666666666618,0.012735825026745232,589.15,581.65
1569,2014-08-04,588.78,9867570,13100169.499643331,-0.22777101096222685,0.014004742166044106,591.95,583.74
1568,2014-08-05,585.44,10790800,13103435.470757036,0.5347222222222103,0.009779120897777611,589.86,584.1
1567,2014-08-06,584.65,14497900,13107642.257761054,0.29384965831436927,0.007492106835054161,587.49,583.1
1566,2014-08-07,588.87,11131400,13111577.733625418,-0.36737588652482367,0.01205849653638941,591.1,584.05
1565,2014-08-08,592.58,11072000,13115458.601370279,0.18756698821006212,0.01584363537562838,598.12,588.79
1564,2014-08-09,589.37,7922070,13120144.522116836,0.28099173553719115,0.008169190001181548,592.47,587.63
1563,2014-08-10,591.06,7555310,13124547.205021488,0.04294478527610446,0.011066415465824774,594.46,587.94
1562,2014-08-11,576.37,14764200,13129029.442892587,0.7342497136311517,0.02952915708293877,591.51,574.05
1561,2014-08-12,569.64,13978200,13133446.111579243,0.4111969111969207,0.017970199996530874,576.95,566.59
1560,2014-08-13,546.66,25777500,13136976.936304102,0.3067393458870167,0.0707598443143168,573.03,532.67
1559,2014-08-14,505.97,35803900,13141653.892523272,0.6952220585139965,0.08698597531949173,546.24,498.73
1558,2014-08-15,497.01,25598300,13145650.001006017,0.3996694214876033,0.059181437570919794,518.18,487.93
1557,2014-08-16,519.71,22832500,13149574.39726001,-0.8956418618440564,0.06775405258823297,521.47,487.74
1556,2014-08-17,491.8,24300900,13153716.268808458,0.5530634573304156,0.0704241630388721,520.19,483.63
1555,2014-08-18,461.46,50783800,13158800.0,0.3656340057636902,0.11295802730361536,499.37,443.85
1554,2014-08-19,485.24,38422400,13163610.638034787,-0.9688432217434557,0.0653766143711536,485.71,455.54
1553,2014-08-20,511.98,46527600,13167650.0,-0.7518219420917882,0.10466530603830371,518.28,467.51
1552,2014-08-21,517.24,49444200,13171698.60412961,0.36689976689976467,0.04202174551865998,531.9,510.45
1551,2014-08-22,514.04,36563900,13175801.894794181,-0.2637308263235981,0.03904710382935978,521.48,501.27
1550,2014-08-23,498.08,25171900,13179667.693944748,0.46191978368634645,0.04322250141218166,514.3,492.11
1549,2014-08-24,508.29,19441700,13183346.253123216,-0.407979407979411,0.031186658371630902,512.89,497.35
1548,2014-08-25,502.5,18356700,13186745.03084577,0.27252502780868104,0.01768918972098699,508.22,499.23
1547,2014-08-26,511.57,23235100,13191100.0,-0.7793103448275749,0.02019739722211174,512.69,502.54
1546,2014-08-27,511.15,22648500,13195477.444977013,0.9530132788559835,0.0191140006638162,520.71,510.92
1545,2014-08-28,507.82,19862000,13199620.03465795,0.7974137931034482,0.01816473535859688,516.16,506.88
1544,2014-08-29,508.52,17624800,13203922.103358768,-0.19289340101522623,0.0154989968923331,511.7,503.82
1543,2014-08-30,504.25,9424070,13208498.806147745,0.3194263363754868,0.015080909966770908,509.31,501.64
1542,2014-08-31,477.76,44632300,13213332.970529135,0.8037911539740612,0.05979319944322926,504.88,474.81
1541,2014-09-01,474.88,20432000,13216622.167705527,0.5567164179104513,0.028045794177358203,485.31,471.91
1540,2014-09-02,477.43,23337900,13220164.237689294,0.04217432052483483,0.022487776091721496,482.99,472.32
1539,2014-09-03,477.59,13342200,13224439.238677528,0.49818181818181984,0.011533541636085306,481.71,476.21
1538,2014-09-04,489.66,26081400,13228500.0,-0.49287410926366104,0.035253726343996046,493.93,477.09
1537,2014-09-05,483.34,15302500,13232179.753382713,0.6168327796234847,0.018440990871403135,490.64,481.61
1536,2014-09-06,484.83,10601400,13236600.0,0.34642857142857975,0.011586047089005716,488.6,483.0
1535,2014-09-07,482.28,8994050,13240420.092062702,1.0,0.011934945272401255,488.07,482.28
1534,2014-09-08,474.6,30238000,13244075.0,0.44771863117870603,0.043668666071687935,489.83,468.79
1533,2014-09-09,475.26,21447800,13247700.0,-0.5583333333333335,0.02021563342318064,477.38,467.78
1532,2014-09-10,479.36,22787800,13251597.354806408,0.31549067315490453,0.025931690081601833,487.47,475.14
1531,2014-09-11,479.75,16852900,13255872.368942158,-0.32816537467699747,0.01613777573912683,482.35,474.61
1530,2014-09-12,477.75,15437200,13259808.263736263,-0.43202416918429176,0.013803744943492232,479.63,473.01
1529,2014-09-13,479.0,15588000,13264330.38413361,-0.1111111111111075,0.01469264739739212,482.12,475.1
1528,2014-09-14,477.89,13105500,13268280.528992027,0.050938337801623046,0.00778510602771752,479.85,476.12
1527,2014-09-15,475.37,15345200,13272177.920356775,0.4130434782608625,0.009628063712665138,478.62,474.02
1526,2014-09-16,466.06,16797300,13276339.539973393,0.8230256898192183,0.022132839152592322,475.64,465.13
1525,2014-09-17,457.33,21056800,13281241.162836464,0.37650793650794045,0.033808440303953975,468.17,452.42
1524,2014-09-18,424.44,34483200,13285550.0,0.4817184643510066,0.09578426651490607,456.86,413.1
1523,2014-09-19,394.8,37919700,13289715.352077,0.5256351039260954,0.10209856165998588,427.83,384.53
1522,2014-09-20,408.9,36863600,13294380.048911715,-0.13824057450628202,0.08467833886538124,423.3,389.88
1521,2014-09-21,398.82,26580100,13298358.34461662,0.4140259740259755,0.047172123113115076,412.43,393.18
1520,2014-09-22,402.15,24127600,13302591.157528287,-0.02553626149131183,0.024530192934101778,406.92,397.13
1519,2014-09-23,435.79,45099500,13306305.534775924,-0.7455908289241631,0.11281056479892565,441.56,396.2
